country;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;sex
European Union - 27 countries (from 2020);25.3;25.3;25.3;25.3;25.2;25.4;25.6;25.5;25.4;25.3;Females
Belgium;24.1;24.4;22.8;24.3;24.5;24.8;25.4;25.6;25.7;25.5;Females
Bulgaria;26.8;27.0;26.5;27.5;27.7;27.8;28.3;28.0;28.2;26.4;Females
Czechia;25.4;24.9;25.1;25.1;24.7;24.7;24.7;24.6;24.1;24.4;Females
Denmark;20.8;20.7;20.8;20.8;20.8;20.9;21.4;21.3;21.3;21.4;Females
Germany;22.9;22.9;22.9;22.9;22.9;23.1;22.9;23.0;23.1;23.1;Females
Estonia;23.0;23.2;22.9;21.8;21.9;22.0;22.1;22.0;22.0;21.9;Females
Ireland;25.7;25.9;25.6;25.7;26.1;27.4;27.4;26.5;27.5;26.3;Females
Greece;28.0;27.8;28.0;28.0;27.7;28.4;29.6;29.2;28.8;28.9;Females
Spain;28.0;28.3;28.3;28.6;28.7;28.8;29.3;29.8;29.4;29.4;Females
France;23.0;23.0;23.1;23.0;22.8;23.3;23.0;22.7;23.0;22.8;Females
Croatia;29.6;29.7;30.4;29.9;29.9;30.8;31.7;31.9;30.3;29.8;Females
Italy;29.0;29.0;29.1;29.1;29.1;29.3;29.0;29.0;29.2;29.2;Females
Cyprus;27.5;26.7;26.5;26.5;26.2;26.2;26.8;26.9;26.8;26.7;Females
Latvia;26.1;26.6;26.0;25.7;24.8;25.3;25.8;25.4;25.5;25.4;Females
Lithuania;24.7;24.4;24.7;24.5;24.7;24.4;24.2;23.7;23.2;22.9;Females
Luxembourg;25.6;25.7;25.8;25.4;26.0;25.9;26.3;26.6;26.3;26.7;Females
Hungary;26.3;26.3;26.0;26.0;26.0;26.4;26.0;25.7;25.8;25.9;Females
Malta;29.6;30.1;30.5;29.5;28.7;28.9;26.9;28.2;29.2;29.0;Females
Netherlands;22.9;22.8;22.9;23.0;23.0;23.6;22.6;22.4;22.5;22.6;Females
Austria;24.3;24.2;24.4;24.8;24.6;24.6;24.4;24.4;24.5;24.4;Females
Poland;27.1;26.8;26.5;26.3;26.0;26.7;27.2;27.2;26.1;25.7;Females
Portugal;28.2;28.1;28.1;27.9;28.1;29.0;32.5;29.4;28.3;28.0;Females
Romania;25.6;25.8;25.6;25.6;25.7;25.5;25.6;25.4;25.3;25.0;Females
Slovenia;27.2;27.1;27.2;27.0;26.6;26.3;28.1;28.0;27.8;27.7;Females
Slovakia;29.5;29.8;29.4;29.7;29.6;29.4;29.5;29.7;29.6;29.5;Females
Finland;21.1;21.1;21.1;21.2;21.0;21.2;20.6;20.5;20.7;20.8;Females
Sweden;19.6;20.6;20.9;18.5;17.6;17.6;21.6;21.3;21.6;21.6;Females
United Kingdom;23.6;23.5;23.6;23.8;23.8;;;;;;Females
Montenegro;29.2;29.6;30.2;30.5;31.0;31.1;;;;;Females
North Macedonia;27.5;27.5;27.5;27.9;28.0;28.4;;;;;Females
Serbia;28.1;28.3;28.4;28.4;28.4;28.5;28.1;28.4;28.0;28.3;Females
Türkiye;24.9;25.0;25.0;25.2;25.4;25.8;26.3;26.3;26.3;;Females
